,,,,,,,,,,,
编码,品名,材料牌号,材料标准,规格标准,RCC-M,质保等级,公称直径,单位,单重,单重单位,备注
SBN00242,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M18,个,,Kg,
SBN00243,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M20,个,,Kg,
SBN00244,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M20,个,,Kg,
SBN00245,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M22,个,,Kg,
SBN00246,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M22,个,,Kg,
SBN00247,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M24,个,,Kg,
SBN00248,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M24,个,,Kg,
SBN00249,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M27,个,,Kg,
SBN00250,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M27,个,,Kg,
SBN00251,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M30,个,,Kg,
SBN00252,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M33,个,,Kg,
SBN00253,六角薄螺母,06Cr19Ni10,CP05T3040,GB/T 6172.1-2016,S1,QA3,M33,个,,Kg,
SBN00254,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M36,个,,Kg,
SBN00255,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M42,个,,Kg,
SBN00256,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M52,个,,Kg,
SBN00257,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M60,个,,Kg,
SBN00258,六角薄螺母,5级,CP05T3040,GB/T 6172.1-2016,S1,QA3,M64,个,,Kg,
SBN00259,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M6,个,,Kg,
SBN00260,1型六角螺母,06Cr19Ni10,CP05T3040,GB/T 6170-2015,S1,QA3,M6,个,,Kg,
SBN00261,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M8,个,,Kg,
SBN00262,1型六角螺母,06Cr19Ni10,CP05T3040,GB/T 6170-2015,S1,QA3,M8,个,,Kg,
SBN00263,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M10,个,,Kg,
SBN00264,1型六角螺母,06Cr19Ni10,CP05T3040,GB/T 6170-2015,S1,QA3,M10,个,,Kg,
SBN00265,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M12,个,,Kg,
SBN00266,1型六角螺母,06Cr19Ni10,CP05T3040,GB/T 6170-2015,S1,QA3,M12,个,,Kg,
SBN00268,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M14,个,,Kg,
SBN00269,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M16,个,,Kg,
SBN00270,1型六角螺母,06Cr19Ni10,CP05T3040,GB/T 6170-2015,S1,QA3,M16,个,,Kg,
SBN00272,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M18,个,,Kg,
SBN00273,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M20,个,,Kg,
SBN00275,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M22,个,,Kg,
SBN00276,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M24,个,,Kg,
SBN00277,1型六角螺母,6级,CP05T3040,GB/T 6170-2015,S1,QA3,M27,个,,Kg,
